site_no,event_id,peak_date,peak_value,peak_quantile,peak2zero,drying_rate,p_value,calendar_year,season,meteorologic_year,dry_date_start,dry_date_mean,dry_dur
02266200,229,194,2.1,0.4543554435359931,32,0.1173810679088728,0.25972130133070753,1999,Summer,1999,225,246.5,44
02266200,232,24,1,0.3633737013585787,35,-0.019933677810405424,0.8398209639108918,2000,Winter,1999,58,168.81178707224333,526
02266200,239,104,0.3,0.27964590889530955,17,-0.02476431341462176,0.9077685752607496,2002,Spring,2002,120,143.5,48
02266200,290,125,2.2,0.46099465174893955,23,0.3227449079731682,0.001341299050239121,2004,Spring,2004,147,152.5,12
02266200,333,17,2.9,0.5003381078256594,75,0.1442814803406316,0.010248010222075929,2006,Spring,2006,91,138.5,96
02266200,340,262,2.3,0.4663429028093687,30,0.1902881741213411,0.015643511823595826,2006,Fall,2006,291,324,67
02266200,341,44,0.8,0.3421036454171021,25,0.01102536032280251,0.9374850185736927,2007,Winter,2006,68,199.61919504643961,323
02266200,345,97,3.2,0.5157681195057479,27,0.412575900181983,4.698778431345195e-7,2008,Spring,2008,123,179.5,114
02266200,348,266,0.9,0.3529845699883199,44,0.2639250794598205,0.024062190528194694,2008,Fall,2008,309,315.5,14
02266200,355,269,2.8,0.49443658941415136,64,0.4150771928188014,1.119133912737323e-15,2009,Fall,2009,332,333.5,4
02266200,382,69,2.6,0.4831868199422143,75,0.4878076394857984,4.2169466236243425e-14,2011,Spring,2011,143,164.5,44
02266200,394,76,0.4,0.29366201512264095,26,0.12987628391374703,0.6226633170000277,2012,Spring,2012,101,128.5,56
02266200,406,45,0.4,0.29366201512264095,23,-0.24499104785339246,0.16614417790571728,2013,Winter,2012,67,74,15
02266200,407,93,0.3,0.27964590889530955,11,-0.2771465850299321,0.48965949799939956,2013,Spring,2013,103,106,7
02266200,408,122,0.4,0.29366201512264095,17,-0.029826021734188628,0.9009340644876509,2013,Spring,2013,138,143,11
02266200,499,53,2.5,0.4780229913321448,53,0.16220526251733777,0.0016895015578648415,2017,Spring,2017,105,127.5,46
02266200,565,115,0.8,0.3421036454171021,26,0.1805161397343961,0.15241494424795607,2020,Spring,2020,140,140.5,2
02266200,585,110,4.8,0.5920575398045123,45,0.45517320262949124,6.488692467141492e-11,2021,Spring,2021,154,158.5,10
08052700,2,357,3.1,0.6464248838409912,15,0.3195693582505892,0.41607305023196783,1980,Winter,1979,6,6.5,2
08052700,6,42,40,0.8611899845121321,17,0.8829415200208498,9.595835361296419e-7,1980,Winter,1979,58,72.5,30
08052700,7,89,1,0.5138745482705214,5,0.8244218385633175,0.35525894443645023,1980,Spring,1980,93,98,11
08052700,8,120,1.3,0.5440113577697471,11,0.23484824404043542,0.20046230803073195,1980,Spring,1980,130,132.5,6
08052700,10,141,3.2,0.6499741868869385,7,0.572967398113186,4.5662550432791786e-4,1980,Spring,1980,147,159,25
08052700,11,173,3.6,0.6620418172431596,7,0.6595871652100095,0.002770991787974905,1980,Spring,1980,179,224.5,92
08052700,38,185,544,0.9776716572018586,20,1.0234872379602835,9.958352596973445e-14,1981,Summer,1981,204,241,75
08052700,68,188,114,0.9181724315952504,12,0.9999796245235376,3.2671528062153396e-7,1982,Summer,1982,199,264,131
08052700,82,121,0.3,0.356672689726381,7,-0.5242568154627093,0.19306644821312322,1983,Spring,1983,127,130,7
08052700,88,176,0.7,0.4690887971089313,6,0.27972339907592714,0.3121091718433334,1983,Summer,1983,181,205,49
