gage,threshold,wet_DateTime,q,rewetting_event,weting_subevent,inital_rewetting_rate,p_value_i,rewetting_rate,p_value,sample_rate
2264000,0.25,2018-04-11T09:15:00Z,0.4,39,2,0.07728343813470445,0.29339322902114484,0.08289895618148743,0.09160176603531206,0.25
2264000,0.25,2018-05-17T06:00:00Z,0,40,0,0.05641802963847799,0.3516061431550217,0.05641802963847799,0.3516061431550217,0.25
2264000,0.25,2018-05-17T15:00:00Z,0.1,40,1,0.05641802963847799,0.3516061431550217,0.05641802963847799,0.3516061431550217,0.25
2264000,0.25,2020-05-31T04:00:00Z,0.1,41,0,NA,NA,0.01011706816306987,0.7843143825009177,0.25
2264000,0.25,2020-05-31T10:00:00Z,0.2,41,1,NA,NA,0.01011706816306987,0.7843143825009177,0.25
2264000,0.25,2020-06-01T12:45:00Z,0.2,41,2,NA,NA,0.01011706816306987,0.7843143825009177,0.25
2264000,0.25,2020-06-02T15:30:00Z,0.2,41,3,NA,NA,0.01011706816306987,0.7843143825009177,0.25
2264000,0.25,2020-06-03T10:45:00Z,0.2,41,4,NA,NA,0.01011706816306987,0.7843143825009177,0.25
2264000,0.25,2021-06-16T03:45:00Z,0,42,0,0.024928896817000598,0.33184122069828337,0.09889063715902795,1.4079284849342385e-21,0.25
2264000,0.25,2021-06-17T00:45:00Z,0.1,42,1,0.024928896817000598,0.33184122069828337,0.09889063715902795,1.4079284849342385e-21,0.25
2264000,0.25,2021-06-23T07:45:00Z,0.5,42,2,0.024928896817000598,0.33184122069828337,0.09889063715902795,1.4079284849342385e-21,0.25
2264000,0.25,2023-04-23T04:00:00Z,0.1,43,0,-0.050431732199360285,0.28795246164972854,0.07893505244355371,7.350030818119467e-5,0.25
2264000,0.25,2023-04-24T14:45:00Z,0.1,43,1,-0.050431732199360285,0.28795246164972854,0.07893505244355371,7.350030818119467e-5,0.25
2264000,0.25,2023-04-24T23:00:00Z,0.4,43,2,-0.050431732199360285,0.28795246164972854,0.07893505244355371,7.350030818119467e-5,0.25
2264000,0.25,2023-04-26T00:30:00Z,1.1,43,3,-0.050431732199360285,0.28795246164972854,0.07893505244355371,7.350030818119467e-5,0.25
2264000,0.25,2023-06-24T19:45:00Z,0,44,0,0.036963536659692604,0.34847131941305576,0.03641337164578657,0.008065619135451455,0.25
2264000,0.25,2023-06-25T09:30:00Z,0.1,44,1,0.036963536659692604,0.34847131941305576,0.03641337164578657,0.008065619135451455,0.25
2264000,0.25,2023-06-26T11:45:00Z,0.1,44,2,0.036963536659692604,0.34847131941305576,0.03641337164578657,0.008065619135451455,0.25
2264000,0.25,2023-06-29T06:00:00Z,0.4,44,3,0.036963536659692604,0.34847131941305576,0.03641337164578657,0.008065619135451455,0.25
2266200,0.25,1997-06-01T15:00:00Z,0,69,0,0.09875356050112268,0.8085979894639148,0.5752307829896721,0.008590419795795962,1
2266200,0.25,1997-06-01T22:00:00Z,0.2,69,1,0.09875356050112268,0.8085979894639148,0.5752307829896721,0.008590419795795962,1
2266200,0.25,1997-06-02T18:00:00Z,0.4,69,2,0.09875356050112268,0.8085979894639148,0.5752307829896721,0.008590419795795962,1
2266200,0.25,1998-07-19T21:00:00Z,0,70,0,0.15250504210454482,0.6410839131038399,-0.0014530124372895224,0.989758321567545,1
2266200,0.25,1998-07-20T07:00:00Z,0.2,70,1,0.15250504210454482,0.6410839131038399,-0.0014530124372895224,0.989758321567545,1
2266200,0.25,1998-07-20T18:00:00Z,0.3,70,2,0.15250504210454482,0.6410839131038399,-0.0014530124372895224,0.989758321567545,1
2266200,0.25,1998-07-21T11:00:00Z,0.4,70,3,0.15250504210454482,0.6410839131038399,-0.0014530124372895224,0.989758321567545,1
2266200,0.25,1998-09-17T17:00:00Z,0,71,0,4.1982852724161805,NA,1.0055767639904933,0.06547492245930554,1
2266200,0.25,1998-09-17T19:00:00Z,0.3,71,1,4.1982852724161805,NA,1.0055767639904933,0.06547492245930554,1
2266200,0.25,1998-09-18T00:00:00Z,1.4,71,2,4.1982852724161805,NA,1.0055767639904933,0.06547492245930554,1
2266200,0.25,1999-09-26T19:00:00Z,0,73,0,0.2679856407827707,0.6850376424742924,0.1880278648199403,0.009252676200653879,1
2266200,0.25,1999-09-27T00:00:00Z,0.1,73,1,0.2679856407827707,0.6850376424742924,0.1880278648199403,0.009252676200653879,1
2266200,0.25,1999-09-28T15:00:00Z,0.9,73,2,0.2679856407827707,0.6850376424742924,0.1880278648199403,0.009252676200653879,1
2266200,0.25,2004-06-08T20:00:00Z,0,76,0,0.7833353516504037,0.22376442425848692,1.2749402593949377,8.160208761776163e-16,1
